package,cc_min,cc_max,cc_avg
joint_trajectory_generator,1.0,11.0,4.1
pr2_controller_manager,1.0,28.0,6.27027027027
pr2_navigation_perception,3.0,6.0,5.0
ethercat_trigger_controllers,1.0,13.0,4.47058823529
laser_tilt_controller_filter,1.0,12.0,6.4
pr2_arm_kinematics,1.0,25.0,5.41666666667
pr2_power_board,1.0,29.0,5.79365079365
ocean_battery_driver,1.0,47.0,8.12903225806
app_manager,1.0,1.0,1.0
power_monitor,1.0,13.0,2.775
single_joint_position_action,1.0,6.0,2.83333333333
pr2_ethercat,1.0,6.0,2.2
pr2_arm_move_ik,1.0,12.0,3.88235294118
pr2_computer_monitor,3.0,8.0,5.33333333333
pr2_hardware_interface,1.0,2.0,1.5
semantic_point_annotator,1.0,14.0,2.6
pr2_mechanism_diagnostics,1.0,5.0,3.125
pr2_run_stop_auto_restart,1.0,7.0,4.0
joint_trajectory_action,1.0,21.0,6.85714285714
pr2_teleop,1.0,30.0,9.625
pr2_teleop_general,1.0,158.0,11.5102040816
pr2_gripper_sensor_action,1.0,18.0,2.26153846154
pr2_gripper_action,1.0,9.0,3.4
pr2_head_action,1.0,38.0,8.83333333333
pr2_calibration_controllers,1.0,93.0,37.1428571429
robot_mechanism_controllers,1.0,175.0,18.0833333333
ethercat_hardware,1.0,33.0,6.01226993865
pr2_mechanism_controllers,1.0,64.0,7.25714285714
pr2_navigation_self_filter,1.0,34.0,4.72151898734
pr2_gripper_sensor_controller,1.0,25.0,4.89189189189
pr2_tilt_laser_interface,1.0,9.0,2.77777777778
orocos_kdl,1.0,87.0,2.78833693305
pr2_mechanism_model,1.0,63.0,5.34782608696
